"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.23580547349786e-49,2.88406304920866,0.695,0.094,8.13125557435278e-45,"0","Ttll3"
3.68331733017333e-49,2.48586770407976,0.75,0.161,9.25580811899256e-45,"0","Rp2"
4.79894459061883e-49,2.8112588230988,0.645,0.08,1.20592678617661e-44,"0","Riiad1"
7.12565757238645e-49,1.9372586666631,0.954,0.374,1.79060649136499e-44,"0","Hmgn3"
7.28841198745374e-49,2.83354913572318,0.691,0.105,1.83150504832725e-44,"0","Map1a"
8.27777872099676e-49,2.21124067655806,0.868,0.302,2.08012301479928e-44,"0","Ppa1"
8.85235306975173e-49,2.66347713651788,0.702,0.096,2.22450780289791e-44,"0","Stmn4"
9.16943926273173e-49,2.91543307647546,0.702,0.096,2.30418839233186e-44,"0","Rundc3a"
1.01260104302755e-48,1.58406487412354,0.946,0.455,2.54456516102394e-44,"0","Pgam1"
2.80959142841845e-48,3.29965305952375,0.617,0.065,7.06022230047273e-44,"0","Iqub"
3.79752196313739e-48,2.30294223538159,0.786,0.162,9.54279294116795e-44,"0","Pkib"
4.25914736542992e-48,1.32290290647456,0.986,0.749,1.07028114145888e-43,"0","Pafah1b1"
4.34840955223999e-48,1.95067345700056,0.909,0.306,1.09271183638239e-43,"0","Clstn1"
6.16871365395796e-48,3.03621162072325,0.644,0.078,1.5501360541031e-43,"0","Cdkl4"
6.37946976598278e-48,3.04858602237694,0.691,0.089,1.60309695749381e-43,"0","Pak3"
7.73008279916132e-48,1.62564548140391,0.97,0.595,1.94249250660125e-43,"0","Ndufv3"
7.74014850436904e-48,2.71875746290161,0.742,0.113,1.94502191766289e-43,"0","Cplx2"
7.88079430864698e-48,1.96363023533733,0.792,0.129,1.9803648018199e-43,"0","Tubb3"
1.15236652175297e-47,2.02424916777477,0.919,0.316,2.89578183251304e-43,"0","Ivns1abp"
1.2635848772969e-47,3.02951685672027,0.726,0.096,3.17526243815939e-43,"0","Elmod3"
1.39948925057947e-47,2.29741504171902,0.743,0.168,3.51677653778116e-43,"0","Cfap298"
1.72703100710923e-47,3.04427676535033,0.704,0.09,4.33985621776479e-43,"0","Spef1"
1.75966109219316e-47,1.27764241219828,0.996,0.879,4.4218523585722e-43,"0","Hint1"
2.03298127300605e-47,1.92178495943998,0.834,0.172,5.10867864093691e-43,"0","Homer2"
2.27399756329013e-47,3.1075656416585,0.678,0.09,5.71432847679177e-43,"0","Celf4"
2.31126423238458e-47,2.06126615695901,0.835,0.244,5.80797588955922e-43,"0","Cfap20"
